DATE,BRKA
1990-01,-0.14063400576368876
1990-02,-0.030851777330650736
1990-03,-0.06920415224913498
1990-04,-0.0037174721189592243
1990-05,0.06716417910447794
1990-06,0.006993006993007123
1990-07,-0.02777777777777782
1990-08,-0.08571428571428548
1990-09,-0.08203124999999971
1990-10,0.012765957446808422
1990-11,0.06638655462184868
1990-12,0.052009456264775315
1991-01,0.1086142322097383
1991-02,0.09121621621621631
1991-03,-0.00619195046439639
1991-04,0.012461059190030778
1991-05,0.07692307692307665
1991-06,-0.04000000000000007
1991-07,0.014880952380952443
1991-08,0.029325513196481207
1991-09,0.011396011396011279
1991-10,-0.03436619718309865
1991-11,-0.02567094515752635
1991-12,0.08383233532934124
1992-01,-0.02209944751381189
1992-02,-0.014124293785310823
1992-03,0.02578796561604598
1992-04,0.019553072625698192
1992-05,-0.0027397260273972716
1992-06,0.013736263736263719
1992-07,0.032520325203252064
1992-08,-0.041994750656167944
1992-09,0.03013698630137002
1992-10,0.007978723404255126
1992-11,0.13192612137203158
1992-12,0.09557109557109593
1993-01,0.029787234042552773
1993-02,0.030991735537190267
1993-03,0.02204408817635254
1993-04,-0.00784313725490216
1993-05,0.1857707509881423
1993-06,0.026666666666666602
1993-07,0.038961038961038856
1993-08,0.09531250000000009
1993-09,-0.04850213980028533
1993-10,0.03448275862068953
1993-11,-7.762887554996212e-17
1993-12,-0.05362318840579698
1994-01,-0.007656967840735735
1994-02,-0.04629629629629628
1994-03,0.030744336569579266
1994-04,0.010989010989010608
1994-05,-2.3939183968479933e-16
1994-06,3.4174052476743105e-16
1994-07,0.21739130434782605
1994-08,-0.02551020408163265
1994-09,-0.007853403141361185
1994-10,0.06860158311345588
1994-11,0.013580246913580458
1994-12,-0.006090133982947572
1995-01,0.20588235294117624
1995-02,-0.09451219512195144
1995-03,0.016835016835016717
1995-04,-0.04635761589403959
1995-05,0.05092592592592586
1995-06,0.03303964757709232
1995-07,0.05543710021321956
1995-08,0.03030303030302994
1995-09,0.15294117647058772
1995-10,0.003401360544217453
1995-11,0.06101694915254264
1995-12,0.02555910543131001
1996-01,-0.0062305295950155805
1996-02,0.11285266457680251
1996-03,-0.046478873239436544
1996-04,-0.010339734121122431
1996-05,-0.08955223880597021
1996-06,0.006557377049180396
1996-07,0.006514657980456031
1996-08,0.012944983818770307
1996-09,0.027156549520766612
1996-10,0.007776049766718652
1996-11,0.0246913580246912
1996-12,0.027108433734939798
1997-01,0.02052785923753665
1997-02,0.020114942528735285
1997-03,0.019718309859154626
1997-04,0.04972375690607679
1997-05,0.13157894736842102
1997-06,0.09767441860465148
1997-07,2.949029909160572e-17
1997-08,-0.12076271186440678
1997-09,0.07951807228915679
1997-10,-0.02455357142857152
1997-11,0.036613272311213155
1997-12,0.01545253863134671
1998-01,0.09347826086956555
1998-02,0.10934393638170933
1998-03,0.20430107526881747
1998-04,0.02083333333333287
1998-05,0.030612244897959315
1998-06,0.10756718528995761
1998-07,-0.10471872805057132
1998-08,-0.13700877255545266
1998-09,-0.014876033057851337
1998-10,0.08221476510067091
1998-11,0.05271317829457381
1998-12,0.030927835051546542
1999-01,-0.07142857142857112
1999-02,0.09384615384615391
1999-03,0.00421940928270084
1999-04,0.07002801120448184
1999-05,-0.05759162303664909
1999-06,-0.04305555555555552
1999-07,-0.01589259796806967
1999-08,-0.053167170562642474
1999-09,-0.1433021806853581
1999-10,0.1618181818181814
1999-11,-0.10328638497652576
1999-12,-0.020942408376963186
2000-01,-0.08734402852049929
2000-02,-0.14062500000000022
2000-03,0.3000000000000003
2000-04,0.036713286713286906
2000-05,-0.011804384485665847
2000-06,-0.08191126279863481
2000-07,0.02416356877323439
2000-08,0.047186932849364364
2000-09,0.1161178509532066
2000-10,-0.010869565217391575
2000-11,0.03453689167974913
2000-12,0.07738998482549314
2001-01,-0.03661971830985937
2001-02,0.02777777777777806
2001-03,-0.06899004267425306
2001-04,0.038961038961038814
2001-05,0.010294117647058705
2001-06,0.010189228529839693
2001-07,-0.0028818443804036493
2001-08,0.0028901734104050916
2001-09,0.00864553314121036
2001-10,0.017142857142857133
2001-11,-0.01685393258426932
2001-12,0.07999999999999999
2002-01,-0.022486772486772715
2002-02,-0.012178619756427766
2002-03,-0.02602739726027409
2002-04,0.03305203938115341
2002-05,0.015656909462218982
2002-06,-0.1045576407506703
2002-07,0.02245508982035909
2002-08,0.06881405563689612
2002-09,0.012328767123287598
2002-10,0.003924221921516071
2002-11,-0.025475131419328643
2002-12,0.006224066390041386
2003-01,-0.07079037800687311
2003-02,-0.08727810650887595
2003-03,0.03403565640194514
2003-04,0.09427899686520372
2003-05,0.016973429778700935
2003-06,0.02112676056338025
2003-07,-0.006758620689655255
2003-08,0.0522844049437575
2003-09,-0.01022764764104257
2003-10,0.03746666666666668
2003-11,0.07633980208199449
2003-12,0.005970149253731577
2004-01,0.0621958456973293
2004-02,0.055983908816627424
2004-03,-0.012698412698412983
2004-04,0.0009646302250804767
2004-05,-0.047007174215654514
2004-06,-0.0005617977528089104
2004-07,-0.019111860595840805
2004-08,-0.0028653295128943184
2004-09,-0.004022988505746986
2004-10,-0.027697634160415402
2004-11,-0.006528189910978893
2004-12,0.05017921146953416
2005-01,0.022753128555176548
2005-02,0.0033370411568407195
2005-03,-0.03547671840354794
2005-04,-0.030459770114942657
2005-05,-0.0029638411381149136
2005-06,-0.007134363852556558
2005-07,1.0018028073766061e-16
2005-08,-0.004191616766466844
2005-09,-0.013830426939266359
2005-10,0.04756097560975619
2005-11,0.04062863795110567
2005-12,-0.008613938919341998
